date,GLD,IEF,SPY,USO,UUP
2009-03-02,-0.018353,0.007361,-0.045043,-0.095009,0.010288
2009-03-03,-0.009788,-0.001271,-0.007507,0.037173,-0.000374
2009-03-04,-0.011662,-0.00509,0.023691,0.087436,-0.005606
2009-03-05,0.033678,0.011723,-0.040848,-0.03803,0.005261
2009-03-06,0.003294,-0.00474,0.001744,0.05384,-0.004863
2009-03-09,-0.018637,0.000423,-0.011753,0.02358,0.005639
2009-03-10,-0.02683,-0.0073,0.059609,-0.028621,-0.005607
2009-03-11,0.012253,0.007141,0.006512,-0.054977,-0.010902
2009-03-12,0.021071,0.002857,0.039372,0.073422,-0.004865
2009-03-13,0.002195,-0.000793,0.007815,-0.021289,0.000993
2009-03-16,-0.005476,-0.005648,-0.003023,0.022439,-0.003014
2009-03-17,-0.00837,-0.001912,0.030583,0.042124,-0.001493
2009-03-18,0.033874,0.034263,0.022384,0.005774,-0.032043
2009-03-19,0.013535,-0.003395,-0.012386,0.025329,-0.012038
2009-03-20,-0.008055,0.0,-0.028249,0.013175,0.008417
2009-03-23,-0.016134,-0.003407,0.071829,0.03316,-0.005167
2009-03-24,-0.012272,-0.00145,-0.019703,-0.005349,0.011187
2009-03-25,0.011325,-0.006017,0.010546,-0.012654,-0.007902
2009-03-26,-0.000544,0.002609,0.020381,0.025953,0.006372
2009-03-27,-0.013489,-0.000625,-0.018048,-0.039663,0.011872
2009-03-30,-0.007829,0.00427,-0.034555,-0.066667,0.006253
2009-03-31,0.003334,0.001763,0.009265,0.012195,-0.003494
2009-04-01,0.008307,-0.000414,0.019366,-0.016179,0.00078
2009-04-02,-0.024497,-0.006525,0.029238,0.083975,-0.01325
2009-04-03,-0.013626,-0.011468,0.009948,-0.001614,-0.00316
2009-04-06,-0.026487,-0.00232,-0.007833,-0.022632,0.004754
2009-04-07,0.017239,0.002537,-0.023325,-0.042673,0.007492
2009-04-08,-0.001499,0.004956,0.010778,0.019005,0.000391
2009-04-09,-0.003464,-0.005876,0.039743,0.040692,0.003912
2009-04-13,0.01819,0.00591,0.000233,-0.03291,-0.01325
2009-04-14,-0.005803,0.005141,-0.017243,-0.015836,0.00237
2009-04-15,0.001488,0.000939,0.01067,0.003423,0.001576
2009-04-16,-0.019314,-0.003963,0.014663,-0.000682,0.003541
2009-04-17,-0.006876,-0.008062,0.006705,0.005463,0.010192
2009-04-20,0.0203,0.006966,-0.041915,-0.075722,0.007761
2009-04-21,-0.00069,-0.003878,0.019537,0.004041,-0.00231
2009-04-22,0.005639,-0.00242,-0.006113,0.000366,-0.002702
2009-04-23,0.016251,-0.000211,0.009818,0.019751,-0.011223
2009-04-24,0.01036,-0.003904,0.015111,0.036585,-0.007828
2009-04-27,-0.007913,0.004131,-0.009462,-0.028374,0.011834
2009-04-28,-0.014156,-0.004852,-0.003145,-0.008191,-0.006238
2009-04-29,0.00661,-0.005406,0.021269,0.025494,-0.007062
2009-04-30,-0.012001,-0.001705,0.000343,0.002451,0.001185
2009-05-01,-0.003667,-0.006192,0.005376,0.034579,-0.002368
2009-05-04,0.019438,0.001021,0.03402,0.031735,-0.009098
2009-05-05,-0.004401,-0.000268,-0.003411,-0.013416,0.003194
2009-05-06,0.014618,0.000429,0.017346,0.042454,-0.00199
2009-05-07,-0.001117,-0.008369,-0.013903,0.001909,0.0
2009-05-08,0.006038,0.00119,0.023333,0.031756,-0.017943
2009-05-11,-0.003223,0.009402,-0.018714,-0.006156,0.005278
2009-05-12,0.011261,-0.000642,-0.002959,0.01053,-0.00525
2009-05-13,0.0043,0.004607,-0.025173,-0.013485,0.003654
2009-05-14,-0.000659,0.000107,0.00857,0.006524,-0.003236
2009-05-15,0.005712,-0.002453,-0.008162,-0.033951,0.006899
2009-05-18,-0.012998,-0.005879,0.028407,0.045048,-0.00524
2009-05-19,0.00664,-0.001398,-0.001206,0.002446,-0.005267
2009-05-20,0.014182,0.003124,-0.006694,0.032937,-0.01222
2009-05-21,0.017344,-0.01095,-0.014363,-0.014467,-0.006598
2009-05-22,0.003197,-0.005861,-0.00213,0.009587,-0.007057
2009-05-26,-0.004142,-0.006659,0.025612,0.012166,0.00209
2009-05-27,-0.003306,-0.01132,-0.017853,0.013838,0.003338
2009-05-28,0.008454,0.005225,0.01394,0.021919,0.000832
2009-05-29,0.020798,0.011279,0.017708,0.029994,-0.014125
2009-06-01,-0.004886,-0.019245,0.024208,0.028297,-0.002528
2009-06-02,0.006581,0.003345,0.000844,0.004809,-0.009294
2009-06-03,-0.020237,0.006112,-0.012652,-0.036161,0.014925
2009-06-04,0.019278,-0.011597,0.009397,0.039724,-0.002101
2009-06-05,-0.026187,-0.009945,0.000212,-0.007694,0.017263
2009-06-08,-0.001601,-0.005079,-0.004125,0.003743,0.000414
2009-06-09,0.002886,0.004311,0.005098,0.017315,-0.012826
2009-06-10,0.00032,-0.005987,-0.002536,0.020424,0.005868
2009-06-11,-0.001705,0.006818,0.004449,0.018219,-0.01
2009-06-12,-0.016329,0.005305,0.002742,-0.0063,0.00968
2009-06-15,-0.011609,0.004491,-0.022928,-0.023079,0.018341
2009-06-16,0.009111,0.005588,-0.013563,-0.00026,-0.013099
2009-06-17,0.004569,-0.002668,-0.000982,0.004934,-0.005807
2009-06-18,-0.008013,-0.012148,0.007307,0.003876,0.004589
2009-06-19,0.003166,0.004625,-0.001941,-0.022651,-0.004568
2009-06-22,-0.014799,0.00539,-0.029987,-0.045299,0.006675
2009-06-23,0.004197,0.003239,0.000784,0.032,-0.011604
2009-06-24,0.005829,-0.003785,0.008595,-0.008554,0.00587
2009-06-25,0.009404,0.012517,0.021772,0.025883,-0.000834
2009-06-26,-0.000217,0.001325,-0.002606,-0.014192,-0.005841
2009-06-29,-0.002709,0.002094,0.009364,0.030925,-0.000839
2009-06-30,-0.009344,-0.00264,-0.008091,-0.019136,0.00378
2009-07-01,0.01327,-0.003419,0.004133,-0.012391,-0.005021
2009-07-02,-0.012339,0.00332,-0.027293,-0.03764,0.005467
2009-07-06,-0.00537,0.000662,-0.000111,-0.037171,0.001589
2009-07-07,-0.000551,0.003968,-0.019376,-0.025929,0.004259
2009-07-08,-0.015875,0.011528,-0.000681,-0.036676,-0.001247
2009-07-09,0.002689,-0.005861,0.001932,0.006141,-0.008326
2009-07-10,0.000782,0.006223,-0.002382,-0.011993,0.002519
2009-07-13,0.00681,-0.003581,0.024352,-0.000216,-0.001675
2009-07-14,0.006874,-0.006643,0.005638,-0.008032,0.000839
2009-07-15,0.015747,-0.012936,0.029246,0.042354,-0.00964
2009-07-16,-0.002819,0.005997,0.009543,0.002689,-0.000846
2009-07-17,-0.000544,-0.006734,-0.000212,0.020262,0.002118
2009-07-20,0.014685,0.003668,0.010634,0.017231,-0.006762
2009-07-21,-0.001608,0.011185,0.004615,0.003158,0.000426
2009-07-22,0.003329,-0.005914,-0.000209,-0.003721,-0.001701
2009-07-23,-0.001926,-0.009695,0.022093,0.028153,0.0
2009-07-24,0.001608,0.002114,0.004086,0.012042,-0.001278
2009-07-27,0.003212,-0.004663,0.002957,0.002733,-0.000853
2009-07-28,-0.017074,0.002008,-0.004677,-0.015419,0.002989
2009-07-29,-0.00988,0.000668,-0.002431,-0.064038,0.007237
2009-07-30,0.004605,0.004004,0.010425,0.060353,-0.001268
2009-07-31,0.018882,0.010082,0.001419,0.037194,-0.013119
2009-08-03,0.00557,-0.013491,0.016496,0.030155,-0.008148
2009-08-04,0.008629,-0.002891,0.002589,0.001319,0.0
2009-08-05,0.001056,-0.005687,-0.00288,0.006057,-0.001297
2009-08-06,-0.001899,0.0,-0.005179,0.001832,0.004762
2009-08-07,-0.008985,-0.006617,0.013134,-0.016201,0.011633
2009-08-10,-0.008779,0.006435,-0.002095,0.001594,0.003407
2009-08-11,-0.001474,0.006955,-0.012476,-0.02254,0.000849
2009-08-12,0.001724,-0.002785,0.010729,0.013293,-0.004665
2009-08-13,0.008284,0.00782,0.007639,0.012048,-0.004687
2009-08-14,-0.007682,0.003104,-0.007679,-0.046825,0.003853
2009-08-17,-0.014946,0.006851,-0.024606,-0.014155,0.00597
2009-08-18,0.004912,-0.003512,0.007934,0.037725,-0.002543
2009-08-19,0.005127,0.003744,0.00878,0.034183,-0.006375
2009-08-20,-0.002831,0.002633,0.010304,-0.011805,-0.002994
2009-08-21,0.014956,-0.010177,0.019606,0.014866,-0.003432
2009-08-24,-0.013988,0.006191,-9.7e-05,0.001831,0.002152
2009-08-25,0.004548,0.002637,0.001943,-0.029504,0.0
2009-08-26,0.000323,0.001315,9.7e-05,-0.005919,0.003866
